Section 6 - Security and Business Associates,,,,,,,,
Question #,Question Text,Indicator,Question Responses,Education,Risk,Risk Indicated,Required?,Reference
,Notes,,,,,,,
6,"Have you executed business associate agreements with all business associates who create, receive, maintain, or transmit ePHI on your behalf?",,,,,,,
,,,"Yes. We ensure all business associates have a fully executed BAA with us before creating, receiving, maintaining, or transmitting ePHI on our behalf.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI.",1,,Required,"HIPAA: §164.308(b)(3) 
NIST CSF: PR.AA, PR.IR 
HPH CPG: 10 
HICP: N/A"
,,,Yes. We assume business associates with whom we require a BAA will prompt us to put one in place.,Make sure all business associates who access ePHI have a fully executed BAA with your practice before being granted access. Include this requirement in your security policies and procedures.,0,,Required,"HIPAA: §164.308(b)(3) 
NIST CSF: PR.AA, PR.IR 
HPH CPG: 10 
HICP: N/A"
,,,No. We do not execute BAAs when we have business associates accessing ePHI.,Make sure all business associates who access ePHI have a fully executed BAA with your practice before being granted access. Include this requirement in your security policies and procedures.,0,,Required,"HIPAA: §164.308(b)(3) 
NIST CSF: PR.AA, PR.IR 
HPH CPG: 10 
HICP: N/A"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(b)(3) 
NIST CSF: PR.AA, PR.IR 
HPH CPG: 10 
HICP: N/A"
,Notes,,,,,,,
7,"How do you maintain awareness of business associate security practices (i.e., in addition to Business Associate Agreements)?",,,,,,,
,,,"Our practice performs extra due diligence in the form of monitoring third-party connections to our information systems or other forms of access, in addition to including language for security compliance in our Business Associate Agreements (BAAs).","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI.",1,,Required,"HIPAA: N/A 
NIST CSF: PR.AT, RS.CO, DE.CM 
HPH CPG: 10, 12, 13 
HICP: N/A"
,,,We rely on the language of our BAAs to ensure that business associates are securing ePHI.,"Consider monitoring, auditing, or obtaining information from business associates to ensure the security of ePHI and include language about this in Business Associate Agreements. ",0,,Required,"HIPAA: N/A 
NIST CSF: PR.AT, RS.CO, DE.CM 
HPH CPG: 10, 12, 13 
HICP: N/A"
,,,We are not sure how to maintain awareness of our business associates' security practices.,"Consider monitoring, auditing, or obtaining information from business associates to ensure the security of ePHI and include language about this in Business Associate Agreements. ",0,,Required,"HIPAA: N/A 
NIST CSF: PR.AT, RS.CO, DE.CM 
HPH CPG: 10, 12, 13 
HICP: N/A"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: N/A 
NIST CSF: PR.AT, RS.CO, DE.CM 
HPH CPG: 10, 12, 13 
HICP: N/A"
,Notes,,,,,,,
8,Do you include satisfactory assurances within your Business Associate Agreements pertaining to how your business associates safeguard ePHI?,,,,,,,
,,,Yes. Our Business Associate Agreements include specifications on authorized use and disclosure of ePHI as well as other requirements as required by the Omnibus Rule updates to HIPAA.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI.",1,,Required,"HIPAA: §164.314(a)(1)(i) 
NIST CSF: GV.RR, GV.PO, GV.OV 
HPH CPG: 10, 12, 13 
HICP: N/A"
,,,Yes. BAAs include specifications on authorized use and disclosure of ePHI.,Ensure all BAAs have been updated to meet the requirements of the HIPAA Security Rule and Omnibus Rule updates to HIPAA.,0,,Required,"HIPAA: §164.314(a)(1)(i) 
NIST CSF: GV.RR, GV.PO, GV.OV 
HPH CPG: 10, 12, 13 
HICP: N/A"
,,,No. We are not sure about what satisfactory assurances are included in our BAAs.,Ensure all BAAs have been updated to meet the requirements of the HIPAA Security Rule and Omnibus Rule updates to HIPAA.,0,,Required,"HIPAA: §164.314(a)(1)(i) 
NIST CSF: GV.RR, GV.PO, GV.OV 
HPH CPG: 10, 12, 13 
HICP: N/A"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.314(a)(1)(i) 
NIST CSF: GV.RR, GV.PO, GV.OV 
HPH CPG: 10, 12, 13 
HICP: N/A"
,Notes,,,,,,,
9,What terms are in your BAAs to outline how your business associates ensure subcontractors access ePHI securely?,,,,,,,
,,,"In addition to language in our BAAs, our Business Associates provide specific assurances to us, including how they ensure subcontractors secure ePHI.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI.",1,,Required,"HIPAA: §164.314(a)(2)(iii) 
NIST CSF: DE.AE, RS.CO 
HPH CPG: 10 
HICP: N/A"
,,,Our BAAs include language requiring the business associate to obtain satisfactory assurances from subcontractors as to how they protect ePHI.,Consider reviewing with your business associates how they manage security expectations for their subcontractors.,0,,Required,"HIPAA: §164.314(a)(2)(iii) 
NIST CSF: DE.AE, RS.CO 
HPH CPG: 10 
HICP: N/A"
,,,We are not sure how to obtain satisfactory assurances from subcontractors.,Ensure your practice can safeguard ePHI by ensuring the terms and conditions of your practice's BAAs outline appropriate requirements for your BAAs with subcontractors.,0,,Required,"HIPAA: §164.314(a)(2)(iii) 
NIST CSF: DE.AE, RS.CO 
HPH CPG: 10 
HICP: N/A"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.314(a)(2)(iii) 
NIST CSF: DE.AE, RS.CO 
HPH CPG: 10 
HICP: N/A"
,Notes,,,,,,,
10,Do your BAAs require your third-party vendors to report security incidents to your practice in a timely manner?,,,,,,,
,,,"Yes. Our BAAs describe requirements to provide satisfactory assurances for the protection of ePHI, obtain the same assurances from its subcontractors, and report security incidents (experienced by the Business Associate or its subcontractors) to our practice in a timely manner. ","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Make sure your point of contact with your business associate knows whom to contact at your organization to provide information about security incidents.",1,,Required,"HIPAA: §164.314(a)(2)(i)( c) 
NIST CSF: ID.RA, DE.AE, RS.CO 
HPH CPG: 10, 13 
HICP: TV1 - Practice # 8"
,,,No. We are not sure how this requirement is described within our BAAs.,"Your practice may not be able to safeguard its information systems and ePHI if your practice's Business Associates are not required to provide satisfactory assurances for the protection of ePHI, obtain the same assurances from its subcontractors, and report security incidents (experienced by the Business Associate or its subcontractors) to you in a timely manner. Make sure your point of contact with your business associate knows whom to contact at your organization to provide information about security incidents.",0,,Required,"HIPAA: §164.314(a)(2)(i)( c) 
NIST CSF: ID.RA, DE.AE, RS.CO 
HPH CPG: 10, 13 
HICP: TV1 - Practice # 8"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.314(a)(2)(i)( c) 
NIST CSF: ID.RA, DE.AE, RS.CO 
HPH CPG: 10, 13 
HICP: TV1 - Practice # 8"
,Notes,,,,,,,
11,Have you updated all your BAAs to reflect the requirements in the 2013 Omnibus Rule updates to HIPAA?,,,,,,,
,,,We have reviewed all BAAs and have confirmed their compliance with the Omnibus Rule updates to HIPAA.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI.",1,,Required,"HIPAA: §164.314(a)(1) 
NIST CSF: ID.AM, GV.OC, PR.AT, GV.RR, GV.PO, GV.OV 
HPH CPG: 10, 13 
HICP: N/A"
,,,We have reviewed all BAAs and are in the process of updating formerly out-of-date BAAs.,Update BAAs to reflect Omnibus Rule updates to HIPAA and HIPAA compliance.,0,,Required,"HIPAA: §164.314(a)(1) 
NIST CSF: ID.AM, GV.OC, PR.AT, GV.RR, GV.PO, GV.OV 
HPH CPG: 10, 13 
HICP: N/A"
,,,We assume all BAAs are up to date with the Omnibus Rule updates to HIPAA but have not reviewed the agreements to make sure.,All BAAs should be reviewed to ensure compliance with the Omnibus Rule updates to HIPAA and HIPAA compliance.,0,,Required,"HIPAA: §164.314(a)(1) 
NIST CSF: ID.AM, GV.OC, PR.AT, GV.RR, GV.PO, GV.OV 
HPH CPG: 10, 13 
HICP: N/A"
,,,We are not sure if our BAAs are up to date with Omnibus Rule requirements.,All BAAs should be reviewed to ensure compliance with the Omnibus Rule updates to HIPAA and HIPAA compliance.,0,,Required,"HIPAA: §164.314(a)(1) 
NIST CSF: ID.AM, GV.OC, PR.AT, GV.RR, GV.PO, GV.OV 
HPH CPG: 10, 13 
HICP: N/A"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.314(a)(1) 
NIST CSF: ID.AM, GV.OC, PR.AT, GV.RR, GV.PO, GV.OV 
HPH CPG: 10, 13 
HICP: N/A"
,Notes,,,,,,,
12,How does your practice document all of its business associates requiring access to ePHI?,,,,,,,
,,,We maintain a current listing of all business associates with access to ePHI in addition to having Business Associate Agreements (BAAs) on file with any business associates with access to ePHI.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI.",1,,Required,"HIPAA: §164.308(b)(1) 
NIST CSF: ID.AM, PR.AA, PR.IR, PR.DS 
HPH CPG: 10 
HICP: N/A"
,,,We maintain copies of fully executed BAAs on file for any business associates with access to ePHI.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Note that the Office for Civil Rights may request an inventory listing of your Business Associates in the event of an audit or investigation.",0,,Required,"HIPAA: §164.308(b)(1) 
NIST CSF: ID.AM, PR.AA, PR.IR, PR.DS 
HPH CPG: 10 
HICP: N/A"
,,,We are not sure how these business associate relationships are documented.,Knowing who provides services to your practice and the nature of the services is an important component of your security plan. Note that the Office for Civil Rights may request an inventory listing of your Business Associates in the event of an audit or investigation.,0,,Required,"HIPAA: §164.308(b)(1) 
NIST CSF: ID.AM, PR.AA, PR.IR, PR.DS 
HPH CPG: 10 
HICP: N/A"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(b)(1) 
NIST CSF: ID.AM, PR.AA, PR.IR, PR.DS 
HPH CPG: 10 
HICP: N/A"
,Notes,,,,,,,
13,Do you obtain Business Associate Agreements (BAAs) from business associates who access another covered entity's ePHI on your behalf?,,,,,,,
,,,Yes. We make sure to have BAAs in place with covered entities for which we are Business Associates as well as subcontractors to those covered entities who contract with us.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI.",1,,Required,"HIPAA: §164.308(b)(2) 
NIST CSF: N/A 
HPH CPG: 10 
HICP: N/A"
,,,Yes. We make sure to have BAAs in place with covered entities for which we are Business Associates.,Make sure your practice has BAAs in place with covered entities for which your practice is a Business Associate as well as subcontractors to those covered entities who contract with your practice,0,,Required,"HIPAA: §164.308(b)(2) 
NIST CSF: N/A 
HPH CPG: 10 
HICP: N/A"
