Section 5 - Security and the Practice,,,,,,,,
Question #,Question Text,Indicator,Question Responses,Education,Risk,Risk Indicated,Required?,Reference
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.310(c) 
NIST CSF: PR.AA, PR.IR, PR.DS, DE.CM 
HPH CPG: 11 
HICP: TV1 - Practice # 2, 6"
,Notes,,,,,,,
7,Do you keep an inventory and a location record of all electronic devices?,,,,,,,
,,,Yes. Our inventory list of all electronic devices and their functions is currently documented and updated on a periodic basis.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. A complete and accurate inventory of the Information Technology (IT) and Operational Technology (OT) assets in your organization facilitates the implementation of optimal security controls. This inventory can be conducted and maintained using a well-designed spreadsheet.",1,,Required,"HIPAA: §164.310(b) 
NIST CSF: PR.AA, PR.IR, PR.DS, ID.AM 
HPH CPG: 11 
HICP: TV1 - Practice # 5"
,,,Yes. We have a list of electronic devices and their functions but it has not been updated to reflect inventory changes.,Asset (electronic devices) inventory lists should be kept up-to-date to meet compliance and best practice standards. A complete and accurate inventory of the Information Technology (IT) and Operational Technology (OT) assets in your organization facilitates the implementation of optimal security controls. This inventory can be conducted and maintained using a well-designed spreadsheet.,0,,Required,"HIPAA: §164.310(b) 
NIST CSF: PR.AA, PR.IR, PR.DS, ID.AM 
HPH CPG: 11 
HICP: TV1 - Practice # 5"
,,,No. We currently do not document and keep an active list of electronic devices and their functions.,"Your practice may not be aware of threats to devices in use if your practice is not aware of the location of all of its electronic devices, laptops, printers, copiers, tablets, smart phones, monitors, and other electronic devices. ePHI can be exposed in a surrounding or environment that is not suitable for handling or accessing that information. A complete and accurate inventory of the Information Technology (IT) and Operational Technology (OT) assets in your organization facilitates the implementation of optimal security controls. This inventory can be conducted and maintained using a well-designed spreadsheet.",0,,Required,"HIPAA: §164.310(b) 
NIST CSF: PR.AA, PR.IR, PR.DS, ID.AM 
HPH CPG: 11 
HICP: TV1 - Practice # 5"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.310(b) 
NIST CSF: PR.AA, PR.IR, PR.DS, ID.AM 
HPH CPG: 11 
HICP: TV1 - Practice # 5"
,Notes,,,,,,,
8,Do you have an authorized user who approves access levels within information systems and locations that use ePHI?,,,,,,,
,,,"Yes. We have written procedures outlining who has the authorization to approve access to information systems, location, and ePHI; how access requests are submitted and how access is granted.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Describe cybersecurity roles and responsibilities throughout the organization, including who is responsible for implementing security practices and setting and establishing policy.",1,,Addressable,"HIPAA: §164.308(a)(3)(ii)(A) 
NIST CSF: ID.AM, PR.MA, PR.PS 
HPH CPG: 6 
HICP: TV1 - Practice # 2, 10"
